"1","¿Cuál es la definición correcta de algoritmo según el temario?","Un conjunto de programas enlazados para realizar una tarea compleja.","Un método de resolución de un problema en un número finito de pasos, similar a una receta.","La traducción de instrucciones a un lenguaje que la máquina pueda ejecutar.","Una entidad física capaz de ejecutar instrucciones, como la CPU.","20","2"
"2","En el ciclo de vida del software (modelo en cascada), ¿en qué fase se detallan los ""planos técnicos"" y la estructura del programa antes de codificar?","Análisis.","Diseño.","Pruebas (Testing).","Mantenimiento.","20","2"
"3","¿Por qué se dice que Java es un lenguaje 50% compilado y 50% interpretado?","Porque el código fuente se traduce directamente a código máquina en la mitad de los casos.","Porque utiliza un intérprete para corregir errores de sintaxis antes de compilar.","Porque el código fuente se compila a Bytecodes (intermedio) y luego la JVM interpreta esos Bytecodes para el sistema específico.","Porque solo funciona en sistemas operativos híbridos.","20","3"
"4","¿Cuál de los siguientes es un tipo de dato primitivo en Java que ocupa 8 bytes?","int","long","boolean","char","20","2"
"5","Al usar la clase Scanner, ¿qué problema común ocurre al leer un número (`nextInt`) seguido de una cadena (`nextLine`)?","El programa se bloquea indefinidamente.","El `nextLine` lee el salto de línea sobrante del buffer y parece saltarse la lectura.","El `nextInt` convierte el número automáticamente a String.","Se produce un error de compilación por incompatibilidad de tipos.","20","2"
"6","Si intentamos asignar un valor `double` a una variable `int` (por ejemplo, `int x = 14.5;`), ¿qué tipo de conversión necesitamos?","Casting implícito (automático).","Casting explícito (manual).","Conversión textual con `String.valueOf`.","No es posible realizar esa conversión en Java.","20","2"
"7","¿Qué resultado devuelve la expresión `! (true || false)`?","true","false","null","Genera un error de ejecución.","20","2"
"8","Según el ámbito de las variables, ¿qué caracteriza a una variable local?","Es visible desde cualquier clase del proyecto.","Pertenece a la clase y se marca como `static`.","Se declara dentro de un método o bloque y solo es visible dentro de él; ""muere"" al salir.","Conserva su valor entre diferentes ejecuciones del programa.","20","3"
"9","¿Cuál de los siguientes identificadores de variable sigue correctamente el convenio CamelCase y las reglas de Java?","1nombreUsuario","Nombre_Usuario","nombreUsuario","class","20","3"
"10","¿Cómo se declara correctamente una constante en Java para el número PI?","constant float PI = 3.1416;","final float PI = 3.1416f;","static float pi = 3.1416;","var PI = 3.1416;","20","2"
"11","Según el Teorema de la Estructura (Böhm y Jacopini), ¿cuáles son las tres estructuras de control necesarias para cualquier programa?","Entrada, Proceso y Salida.","Secuencial, Condicional y Repetitiva.","Variables, Constantes y Funciones.","Clases, Objetos y Métodos.","20","2"
"12","¿Para qué situación es ideal la estructura condicional `switch`?","Para evaluar condiciones complejas con rangos numéricos (ej. edad > 18 y edad < 65).","Para comparar una única variable con una lista de valores concretos y discretos.","Para realizar bucles infinitos hasta que el usuario pulse una tecla.","Para evaluar expresiones booleanas compuestas con AND y OR.","20","2"
"13","¿Cuál es la diferencia principal del bucle `do-while` respecto al `while`?","El `do-while` nunca se ejecuta si la condición es falsa inicialmente.","El `do-while` garantiza que el bloque de código se ejecute al menos una vez, ya que la condición se comprueba al final.","El `do-while` se usa solo para recorrer arrays.","No hay diferencia, son intercambiables en todos los casos.","20","2"
"14","¿Cuándo es recomendable utilizar un bucle `for` en lugar de un `while`?","Cuando la condición de parada es compleja o depende de un evento externo.","Cuando sabemos de antemano el número exacto de repeticiones que queremos realizar.","Cuando queremos que el código se ejecute al menos una vez.","Cuando necesitamos un bucle infinito.","20","2"
"15","¿Qué es un ""acumulador"" en el contexto de los bucles?","Una variable que cuenta sucesos sumando una cantidad fija (generalmente 1).","Una variable que suma cantidades variables en cada iteración (ej. precio total de la compra).","Una variable booleana que actúa como interruptor para salir del bucle.","Una constante que define el límite del bucle.","20","2"
"16","¿Cuál es una característica fundamental de un vector (Array) en Java?","Puede cambiar de tamaño dinámicamente durante la ejecución.","Puede almacenar datos de distintos tipos en las diferentes posiciones.","Almacena un conjunto de datos del mismo tipo en posiciones de memoria contiguas y tiene tamaño fijo.","Los índices empiezan siempre por el número 1.","20","3"
"17","¿Cómo se declara correctamente una matriz (array bidimensional) de 8x8 enteros en Java?","int[8,8] tablero = new int[];","int[][] tablero = new int[8][8];","int tablero = new int[8][8];","Matrix tablero = new Matrix(8,8);","20","2"
"18","¿Por qué NO debemos usar `==` para comparar el contenido de dos Strings?","Porque da error de compilación.","Porque `==` compara si apuntan al mismo objeto en memoria, no si el texto es igual; para eso se usa `.equals()`.","Porque `==` solo sirve para números enteros.","Porque Java convierte automáticamente los Strings a mayúsculas al usar `==`.","20","2"
"19","¿Qué hace el método `split(delimitador)` de la clase String?","Elimina los espacios en blanco al principio y al final.","Extrae una subcadena entre dos posiciones.","Divide la cadena en un array de Strings utilizando el delimitador especificado.","Devuelve la posición de la primera aparición de un texto.","20","3"
"20","Si tenemos `int[] notas = new int[5];`, ¿cómo accedemos al último elemento?","notas[5]","notas[4]","notas.last()","notas[0]","20","2"
"21","¿Cuál de las siguientes es una ventaja principal de la programación modular con funciones?","Permite escribir todo el código en el método main para mayor velocidad.","Divide problemas grandes en partes pequeñas (módulos) reutilizables y fáciles de mantener.","Elimina la necesidad de declarar variables.","Permite usar tipos de datos dinámicos sin restricciones.","20","2"
"22","En Java, ¿qué diferencia técnica distingue a un procedimiento de una función?","El procedimiento devuelve un valor con `return`.","El procedimiento tiene tipo de retorno `void` y no devuelve ningún resultado.","La función no puede recibir parámetros.","El procedimiento solo puede ser `private`.","20","2"
"23","Según la ""Regla de la Habitación de Hotel"", ¿qué ocurre con las variables declaradas dentro de una función?","Son visibles desde el método main y cualquier otra función.","Son locales: solo existen dentro de esa función y desaparecen al terminar su ejecución.","Se guardan en el disco duro para usarlas más tarde.","Se convierten automáticamente en variables globales.","20","2"
"24","Cuando pasamos una variable de tipo primitivo (`int`, `double`) a una función, ¿qué recibe la función?","La dirección de memoria de la variable original.","Una copia exacta del valor (fotocopia); la original no se modifica.","Una referencia al objeto contenedor.","Acceso directo para modificar la variable del main.","20","2"
"25","¿Qué sucede si modificamos el contenido de un array pasado como parámetro dentro de una función?","Solo se modifica la copia local de la función.","El array original se ve afectado, ya que se pasa la dirección de memoria (referencia).","Java impide modificar arrays dentro de funciones.","El array se duplica automáticamente para evitar efectos secundarios.","20","2"
"26","¿Qué indica el Principio de Responsabilidad Única al crear funciones?","Que una función debe tener al menos 100 líneas de código.","Que una función debe hacer una sola cosa y hacerla bien.","Que solo debe haber una función en todo el programa.","Que una función no debe llamar a otras funciones.","20","2"
"27","En la declaración `public static int sumar(int a, int b)`, ¿qué indica `int` antes del nombre `sumar`?","El tipo de los parámetros que recibe.","El tipo de dato que la función devuelve al terminar.","Que la función es interna.","El número de veces que se puede llamar.","20","2"
"28","¿Para qué sirven los comentarios tipo Javadoc (`/** ... */`) antes de una función?","Para que el compilador ejecute esa parte más rápido.","Para documentar qué hace la función, sus parámetros y qué devuelve.","Para comentar código que no queremos que se ejecute.","Para definir variables globales.","20","2"
"29","¿Qué significa la ""composición de funciones""?","Escribir funciones una debajo de otra sin orden.","Construir operaciones complejas haciendo que unas funciones llamen a otras (delegación).","Mezclar código Java con código C++.","Declarar funciones dentro de bucles.","20","2"
"30","¿Qué hace la instrucción `return` dentro de una función?","Imprime un valor por pantalla.","Reinicia la función desde el principio.","Devuelve el resultado calculado a quien llamó a la función y termina su ejecución.","Declara el tipo de dato de la función.","20","3"
"31","¿Cuál es una limitación principal de los Arrays estáticos frente a las Colecciones del JCF?","Los arrays son más lentos leyendo datos.","Tienen un tamaño fijo definido al crearse y no se pueden redimensionar.","Solo pueden almacenar objetos, no primitivos.","No permiten acceder a los elementos por índice.","20","2"
"32","¿Cuál de las siguientes es una interfaz raíz del Java Collection Framework?","ArrayList","Collection","HashMap","Collections","20","2"
"33","¿Por qué necesitamos clases Wrapper como `Integer` o `Double` en las colecciones?","Para poder usar decimales.","Porque las colecciones en Java solo pueden almacenar referencias a Objetos, no tipos primitivos.","Para que ocupen menos memoria.","Para ordenar la lista automáticamente.","20","2"
"34","¿Qué característica define a una estructura de tipo `List`?","No permite elementos duplicados.","Almacena parejas de Clave-Valor.","Es una colección ordenada (secuencia) que permite duplicados y acceso por posición.","No garantiza ningún orden de almacenamiento.","20","3"
"35","¿En qué situación es teóricamente más eficiente `LinkedList` que `ArrayList`?","Para acceder a un elemento por su índice (`get`).","Para insertar o eliminar elementos en medio de la lista.","Para ordenar la lista.","Para almacenar tipos primitivos directamente.","20","2"
"36","¿Cuál es la característica principal de un `Set` (como `HashSet`)?","Mantiene los elementos siempre ordenados alfabéticamente.","No permite elementos duplicados.","Permite acceder a los elementos mediante un índice numérico.","Es más lento que una lista para comprobar si existe un elemento.","20","2"
"37","¿Qué almacena una estructura de tipo `Map`?","Elementos individuales ordenados.","Elementos únicos sin orden.","Pares de objetos: una Clave (única) y un Valor (puede repetirse).","Cadenas de caracteres exclusivamente.","20","3"
"38","En un `HashMap`, ¿qué ocurre si hacemos `put(""clave1"", ""valor2"")` cuando ""clave1"" ya existía?","Se lanza un error de ejecución.","Se añade una segunda entrada con la misma clave.","Se sobrescribe el valor antiguo asociado a esa clave con el nuevo valor.","Se ignora la operación y se mantiene el valor antiguo.","20","3"
"39","¿Por qué se recomienda usar un `Iterator` para borrar elementos mientras recorremos una lista?","Porque es más rápido que un bucle for.","Para evitar errores como `ConcurrentModificationException` al modificar la estructura mientras se recorre.","Porque los bucles for no funcionan con ArrayList.","Para poder borrar elementos duplicados automáticamente.","20","2"
"40","¿Qué diferencia hay entre `Collection` (sin s) y `Collections` (con s)?","Son lo mismo, solo cambia el nombre por versión de Java.","`Collections` es la interfaz y `Collection` la clase.","`Collection` es la interfaz raíz de las estructuras, y `Collections` es una clase de utilidad con algoritmos (sort, max, etc.).","`Collection` se usa para Listas y `Collections` para Mapas.","20","3"